,sample,Area.20.,Perimeter.20.,Ix.20.,Iy.20.,Ixy.20.,Imin.20.,Imax.20.,Theta.20.,Area.80.,Perimeter.80.,Ix.80.,Iy.80.,Ixy.80.,Imin.80.,Imax.80.,Theta.80.
1,ID_001-Femur_L,1086.17302614312,135.198457948886,66814.7348104337,142292.47975086,-7532.2374569467,66070.4018991971,143036.812662096,84.3563753268515,1130.75793050635,124.672798097611,74305.8233078766,145659.805075961,10578.2494734335,72770.6247849217,147195.003598916,-81.7424389020069
2,ID_001-Femur_R,1006.18373404344,125.633599760175,59210.7215329697,114958.151618067,9233.20654617442,57721.2607698,116447.612381237,-80.8362383118255,1095.43545161714,121.398653336636,72268.2925931711,130836.613659802,-9136.20369981863,70876.2037438523,132228.702509121,81.3364441948037
3,ID_002-Femur_L,1205.21336631476,138.617071756116,89082.9362620609,177411.784426152,-33399.1000761316,77875.9214934298,188618.799194783,71.4509043343007,855.446962998686,106.547190187559,50828.7056688436,69773.3692480922,8426.21654836928,47623.2539434863,72978.8209734495,-69.1724785820267
4,ID_002-Femur_R,1161.55029083482,135.646544538884,80269.2365242245,166399.736532693,28410.6917209582,71742.0145776932,174926.958479224,-73.2933286304444,899.29094909072,109.215165494645,56783.3270170108,76213.0386902464,-9754.90931061736,52730.9507576466,80265.4149496106,67.4410652424353
5,ID_003-Femur_L,582.721597398298,95.3908672048093,18908.6951262312,42299.5265256746,1772.03867400102,18775.211069363,42433.0105825428,-85.692161559377,611.669100603571,90.372598437976,23895.4298616715,38318.3710472927,1742.28566253622,23687.9471967205,38525.8537122437,-83.2088300386307
6,ID_003-Femur_R,637.526139963934,103.540857023403,23261.746317603,52618.4680348161,-363.67207438758,23257.2418266546,52622.9725257646,89.2903631010714,622.67871331823,91.0466313111673,25949.3504932021,37996.1451740433,-1976.9502141407,25633.2172776764,38312.278389569,80.9147762972142
7,ID_004-Femur_R,775.98186239055,104.622060572786,38459.2084001929,63540.795404784,6487.45269715979,36880.5633808933,65119.4404240836,-76.3235566381074,817.913760346593,103.597198306652,43210.189036502,67016.1981748791,-5330.9644864413,42070.9276932878,68155.4595180933,77.936980554339
8,ID_005-Femur_R,646.614745689776,97.8778319876041,30341.9581851481,39606.2838345654,-334.18880199049,30329.918754357,39618.3232653565,87.9367639640781,654.460966508188,93.9836059827572,25713.371943203,47303.385820761,-4639.39910149305,24758.6470198832,48258.1107440809,78.3716439849744
9,ID_006-Femur_L,1002.20924604874,122.352144494174,67660.818442784,103105.672767607,-9810.09316197237,65126.8305133399,105639.660697052,75.5168330832302,796.592176568099,102.999013094354,40635.4635498296,64620.2831095821,5900.7887682421,39262.3505035728,65993.3961558389,-76.9004008123619
10,ID_006-Femur_R,1121.43912402921,131.78183499675,90195.9554781561,126190.462128741,15212.2088549401,84628.1408956095,131758.276711288,-69.8968888062653,795.570431855855,102.250826330449,41612.2049756058,62946.1596774256,-7350.77269954121,39324.7134032002,65233.6512498311,72.7143478002815
11,ID_007-Femur_R,908.236744557708,121.397164405235,69412.1697135983,74965.0744046468,11590.3824115126,60270.3314068491,84106.9127113959,-51.7356204144685,753.032388447687,99.0964758504789,37125.0443197803,55970.5795329148,-4745.8643107462,35997.3722471973,57098.2516054978,76.6337327951941
12,ID_008-Femur_L,956.01926646218,119.686094143868,64117.995486942,96330.8655558542,-23349.9529239787,51858.2966453978,108590.564397398,62.2986544959168,890.128516412822,108.73827854028,47389.0575765469,85648.0772175803,4384.63793867115,46892.9923525845,86144.1424415427,-83.5451688642873
13,ID_008-Femur_R,888.763378030232,115.144200490925,59357.6488358018,78417.8782528581,20697.4649367121,46101.6243109247,91673.9027777352,-57.3618156893655,853.226962274126,105.672091988416,46313.6988051494,73716.7695606038,-3858.39123261807,45780.7951489331,74249.6732168201,82.1363148646417
14,ID_009-Femur_L,940.593050149739,119.738962459789,57890.4611910496,97706.8814016053,-14460.0765830893,53193.1710091011,102404.171583554,72.0038475106301,919.016372984545,111.371531049125,50946.8099881966,91743.3597739942,2405.11898464818,50805.5080612926,91884.6617008982,-86.6377095828795
