,sample,Area.20.,Perimeter.20.,Ix.20.,Iy.20.,Ixy.20.,Imin.20.,Imax.20.,Theta.20.,Area.80.,Perimeter.80.,Ix.80.,Iy.80.,Ixy.80.,Imin.80.,Imax.80.,Theta.80.
1,ID_001-Humerus_L,482.032801526914,81.4384073493081,17513.3160848782,20137.0554985243,-1160.87023434294,17073.437571019,20576.9340123835,69.2472323548184,341.984756328292,72.9221331888014,8351.77016391195,12870.6150883207,2573.38000546704,7186.68178290803,14035.7034693246,-65.6415337565291
2,ID_001-Humerus_R,449.988308578287,77.4796557311597,15776.6846575001,16876.4281769449,931.237146229876,15245.0937157581,17408.0191186868,-60.2803830731583,331.15878346035,70.2491314289374,7158.22738146727,12472.2388404811,-1858.6156243219,6572.6829593796,13057.7832625687,72.5133151170932
3,ID_002-Humerus_L,489.043778849512,81.2197003944142,20322.5600430069,18438.6982539863,-1267.83363754547,17801.1874931878,20960.0708038055,26.6948373758786,351.780720148987,73.448793524333,9610.43175478629,12642.5410837434,3003.72339256264,7761.8503372026,14491.1225013271,-58.3906126704974
4,ID_002-Humerus_R,494.25240942971,81.0909243085379,20514.6310643814,19019.083289393,1140.36881821318,18403.1831585195,21130.5311952549,-28.372973840412,370.17576812782,77.6702434235304,10624.1879740425,15258.8880165351,-4354.85479075775,8008.49923915119,17874.5767514265,59.0093971005696
5,ID_003-Humerus_L,307.235463923751,64.001586097123,6449.83240988953,8976.30879497428,-52.1164668245042,6448.75780204903,8977.38340281478,88.8187654661772,209.732078193029,56.7892059567899,3320.16653074234,4760.61167727897,1346.59360509387,2513.28894608881,5567.48926193251,-59.0699995736889
6,ID_003-Humerus_R,296.893142049644,63.6546709593475,6254.02441170085,8157.96154522881,133.988019746613,6244.64135624626,8167.34460068341,-85.9941700041801,205.271305716295,55.9568130249001,3074.55332973842,4539.00055831847,-964.633639542081,2595.71564093097,5017.83824712592,63.6005055311761
7,ID_004-Humerus_L,297.618084282207,63.2181608709755,7736.78128658329,6638.91280363275,-326.852568900173,6548.97193739082,7826.72215282523,15.3854439933914,233.294642786824,62.2213493052683,3966.31891652898,6136.82465713751,1414.07240454191,3269.05262626565,6834.09094740083,-63.752511215779
8,ID_004-Humerus_R,316.226604526442,65.3184780238045,8158.81842129531,8072.57165726483,-72.9934022263622,8030.91495408896,8200.47512447118,29.7130289187674,240.593397609452,61.6357045709935,4131.761818225,6293.54388012179,-1203.79849381232,3594.79740615956,6830.50829218723,65.9603384238608
9,ID_005-Humerus_R,272.553685470008,59.8884331804409,5476.73270706155,6491.71224385192,421.068669983019,5324.79492836224,6643.65002255124,-70.1586054962591,202.708307069002,55.0732479137102,2795.73414729963,4357.94563267012,-365.3942098164,2714.49476776105,4439.18501220869,77.4651158270982
10,ID_006-Humerus_L,397.472635903154,73.2015281596462,11913.5491721243,13589.2291520438,-395.502406775858,11824.8914542935,13677.8868698747,77.3651722468204,301.100141974342,66.9085869133383,5849.79367552415,10070.5606551861,794.256295734526,5705.27993100827,10215.074399702,-79.6879257471534
11,ID_006-Humerus_R,393.20870062728,72.2903571152491,12351.9831927554,12589.1655076267,487.538108908497,11968.8201571244,12972.3285432577,-51.8356983156158,323.260621686447,69.1546742505913,6981.44724350114,11265.0680356443,-749.878066576648,6853.96944997383,11392.5458291716,80.3520644256538
12,ID_007-Humerus_L,397.959703636608,71.8031400473587,12525.7874376463,12870.6409060814,-191.42867448494,12440.5789334201,12955.8494103077,66.0052540199449,255.333743853448,61.4494215081851,4295.46348045453,7198.18695151127,1071.43940368505,3942.82042576617,7550.83000619963,-71.7820639089697
13,ID_007-Humerus_R,407.113479604697,72.9341572603395,13150.0390701467,13419.5985030103,-165.451287322588,13071.4184575297,13498.2191156273,64.5834525371633,260.404261009268,63.0361318171085,3866.98479857307,8433.99648077046,-930.268372373463,3684.76596506387,8616.21531427966,78.9173524032812
14,ID_008-Humerus_L,366.177117913745,70.0742703062843,8797.35449002218,13183.2987407284,128.900690903241,8793.56943018366,13187.0838005669,-88.3180411762216,256.564205450019,60.4427248505398,4451.99921639521,6566.11171761452,452.551036567535,4359.19879869733,6658.91213531239,-78.4115380029688
15,ID_008-Humerus_R,364.435518707983,69.4983889021119,9162.31680786638,12510.2065211541,734.783802549558,9008.14826004825,12664.3750689722,-78.1503819145218,276.557682901015,62.6280073641361,5161.63650237128,7759.53984846909,-519.315554717012,5061.67284764384,7859.50350319652,79.1043361291891
16,ID_009-Humerus_L,453.415116863215,76.9492770773362,17280.5624477807,15855.8932330676,831.675270382028,15473.1916089675,17663.2640718809,-24.7098784733645,270.861789381627,67.5384020427444,4800.59883204516,9475.50677793397,1983.19520129669,4072.64022556738,10203.4653844117,-69.8436559598897
17,ID_009-Humerus_R,451.534008791453,77.2215888568969,17316.7211830859,15679.934121757,88.4477178050536,15675.1685123893,17321.4867924535,-3.0841443832187,278.866137484605,67.8508109735801,5021.49230295863,10003.0384645804,-1933.37538767726,4359.18896069183,10665.3418068472,71.0904249214448
18,ID_010-Humerus_L,245.206840075766,57.066238203554,4308.19664783822,5468.01917236707,-205.128695314187,4272.98608985691,5503.22973034837,80.2600381829687,250.03518805685,61.1315914197599,4800.58034164153,6365.93467077348,1497.24185363761,3893.78518852449,7272.72982389052,-58.7990689107785
19,ID_011-Humerus_L,417.56990572525,77.7791883420374,14509.717426012,13443.7454504724,-759.321153273881,13049.023145206,14904.4397312784,27.4670247871029,285.794810208427,66.2885027157319,5606.93178284456,9343.40524926924,2175.20737172149,4607.79417681979,10342.542855294,-65.3292703108921
