,sample,Area.20.,Perimeter.20.,Ix.20.,Iy.20.,Ixy.20.,Imin.20.,Imax.20.,Theta.20.,Area.80.,Perimeter.80.,Ix.80.,Iy.80.,Ixy.80.,Imin.80.,Imax.80.,Theta.80.
1,ID_002-Tibia_L,868.533463908633,111.675804690179,69272.5944372176,64358.4066052852,-25264.1595760871,41432.1384587139,92198.862583789,42.222552726391,476.898333666986,79.9660490371531,16911.5706546152,20302.0030000798,-1262.47150900825,16493.1188819618,20720.4547727331,71.6619937080926
2,ID_002-Tibia_R,923.036756806883,114.562800693713,77919.8638512584,71839.6275509582,27692.2195616006,47021.1502121974,102738.341190019,-41.8675103331397,496.849678643897,80.8752412663604,18373.3107354586,21721.8544187381,1720.82139428118,17646.6634883485,22448.5016658482,-67.1072382093927
3,ID_003-Tibia_L,548.548758857406,89.4059107659578,31064.5735535431,22338.8648135906,-7856.30848682627,17715.2804398931,35688.1579272405,30.4776066495068,317.195864814375,64.8114472526827,7178.25407608979,9253.85382797552,-39.4449879269254,7177.50472855811,9254.6031755072,88.9116668717377
4,ID_003-Tibia_R,572.966179919998,92.2734893073049,34536.1421280396,23431.9171470799,6414.37156688019,20500.5093950576,37467.5498800619,-24.5606958579358,312.666360374425,64.1722004485902,6854.8388256448,9100.37339827995,262.506546918066,6824.55968340896,9130.65254051579,-83.4202254128006
5,ID_004-Tibia_L,771.78020371001,106.132813074777,52972.3379049237,54809.3151761346,-23978.4322525556,29894.8094821893,77886.8435988689,46.096814963847,412.086486012079,73.4100910592966,12176.8457409999,15497.153601598,-1656.42915928994,11491.8197992991,16182.1795432988,67.5321737105606
6,ID_004-Tibia_R,754.78995234089,104.74457336311,49962.2143074566,51774.5916158368,21196.3260202833,29652.7150247657,72084.0908985278,-46.2240137096811,425.428081275044,74.6181138420125,12869.21859391,16726.3900952535,2071.81721525502,11967.2797339979,17628.3289551656,-66.4747214976384
7,ID_005-Tibia_R,564.598843758181,87.9718797160361,29576.2026607314,25159.9215943357,8722.07369373957,18370.815096726,36365.3091583411,-37.8965533221308,309.736281665693,63.2436676499548,8324.34764708248,7153.44604216096,381.575936938328,7040.07437950464,8437.71930973879,-16.5474367310442
8,ID_006-Tibia_L,919.871994818207,115.245015965444,65699.4088203715,82573.6134930753,-22810.5297707278,49815.6360849803,98457.3862284665,55.1491506214716,474.137672660138,80.4434601335802,17010.3103456569,20124.770073608,659.177278547066,16876.54064316,20258.5397761049,-78.5285004757633
9,ID_006-Tibia_R,927.14032012827,114.632483003627,71421.0340800186,78158.3517178826,24591.2099305031,49968.8253056443,99610.5604922569,-48.9000938555761,477.89142699558,80.2080313058932,16512.8488733308,21047.3373633685,-42.0460294690491,16512.4590351772,21047.7272015221,89.4687859669134
10,ID_007-Tibia_L,770.164891290883,105.250107425996,48791.601607294,57065.6173366431,-20892.144194452,31630.8038781015,74226.4150658356,50.600332402717,493.438626211764,81.3319262852434,19960.628506631,20523.5169063478,-4544.5899548505,15688.776241799,24795.3691711798,46.7718866857961
